pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN	corr_IFN	corr_UPR	max_abs_confound_corr	confound_flag	recommended_topN_filtered	filtered_rank
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Myc	ENSMUSG00000022346	-1	1	2.58874037096831	0.2740704235166963	0.5380190991435696	-0.08473405489227108	-0.7017482203766819	0.36520744016429096	0.08473405489227108	0.7017482203766819	-0.36520744016429096	3	0.14042494503488734	0.38389657181108133	0.5356535277805642	0.30925970845648143	0.4540680250128598	0.6666666666666666	0.08473405489227108	0.5380190991435696	0.2692023070372658	0.6511885538694859	1.0269202307037266	0.17114587761662456	TRUE	NA	1	Tier2	FALSE	0.9647380420061467	-0.9867597241472574	0.9867597241472574	TRUE	FALSE	1
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Pes1	ENSMUSG00000020430	-1	1	1.5592406001476036	0.4585801010827313	0.7020122201599952	0.0276484670101131	0.17547216069005894	0.1025622772248332	-0.0276484670101131	-0.17547216069005894	-0.1025622772248332	3	-0.10189430164166842	0.10189430164166842	0.0739141106070444	0.04267433165588886	-2.3877187453879545	1	0.0276484670101131	0.7020122201599952	0.15365532789603237	0.9311731637781876	1.0153655327896032	0.09633914002315797	TRUE	NA	2	Tier2	FALSE	-0.3330943042459661	0.6953033915538679	0.6953033915538679	FALSE	FALSE	2
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Eif4a1	ENSMUSG00000059796	-1	1	4.442581927011304	0.10846898889340278	0.3358374343975911	-0.12195052079320096	-0.1654610912565772	0.17143415494226072	0.12195052079320096	0.1654610912565772	-0.17143415494226072	3	0.03865915236917248	0.15294858899734629	0.1832421642753227	0.1057949128712472	0.3654159857026474	0.6666666666666666	0.12195052079320096	0.3358374343975911	0.47387089650591296	0.8451355353892841	1.0473870896505912	0.09025843417505738	TRUE	NA	3	Tier2	FALSE	0.9740287856916792	-0.7914226034756732	0.9740287856916792	TRUE	FALSE	3
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Wdr12	ENSMUSG00000026019	-1	1	0.05914896079488585	0.970858565016508	0.9893018315472936	0.11305901451642732	0.07161925118122905	0.08107892288059715	-0.11305901451642732	-0.07161925118122905	-0.08107892288059715	3	-0.08858572952608451	0.08858572952608451	0.02171583767274153	0.01253764472603554	-7.065579816768002	1	0.07161925118122905	0.9893018315472936	0.00467118688928743	0.9787457168891442	1.000467118688929	0.08674340389769512	TRUE	NA	4	Tier2	FALSE	0.04336327980731112	-0.4552343787489233	0.4552343787489233	FALSE	FALSE	4
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Ncl	ENSMUSG00000026234	-1	1	7.389473388401484	0.02485399700254793	0.1572413696300057	0.02184573373805987	-0.09280758015306034	0.223743026845666	-0.02184573373805987	0.09280758015306034	-0.223743026845666	3	-0.05092706014355518	0.1127987802455954	0.1602665416016167	0.09252993093578377	-0.5503847201496218	0.6666666666666666	0.02184573373805987	0.1572413696300057	0.8034331819712364	0.861870927191965	1.0803433181971236	0.0700192034443504	TRUE	NA	5	Tier2	FALSE	0.9998309217995326	-0.916773979723181	0.9998309217995326	TRUE	FALSE	5
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Tcof1	ENSMUSG00000024613	-1	1	6.001267246151315	0.04975553212457755	0.22451586754546615	0.07037155069049696	0.17427690324301853	-0.48652971903951736	-0.07037155069049696	-0.17427690324301853	0.48652971903951736	3	0.08062708836866729	0.2437260576576776	0.35534038577313914	0.20515586738006736	0.39300405783325354	0.3333333333333333	0.07037155069049696	0.22451586754546615	0.64875296003297	0.7378220338572445	1.064875296003297	0.06383091669966619	TRUE	NA	6	Tier2	FALSE	-0.9799315415598958	0.8080645519958025	0.9799315415598958	TRUE	FALSE	6
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Rrp9	ENSMUSG00000041506	-1	1	1.936352620366705	0.37977499874866344	0.6366186125821705	0.11668290131641164	0.15655619125227938	-0.03384526461102971	-0.11668290131641164	-0.15655619125227938	0.03384526461102971	3	-0.07979794265255377	0.10236145239324024	0.1004168996257243	0.05797572403009955	-1.3764026924635675	0.6666666666666666	0.03384526461102971	0.6366186125821705	0.19612066822276844	0.9087464944787034	1.0196120668222768	0.06322995831434428	TRUE	NA	7	Tier2	FALSE	-0.9891352408377311	0.8382111138716335	0.9891352408377311	TRUE	FALSE	7
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Ddx21	ENSMUSG00000020075	-1	1	3.4200482774648435	0.18086142679884273	0.4353349167961363	0.0162893616125532	-0.1146547108765349	0.14286577507449652	-0.0162893616125532	0.1146547108765349	-0.14286577507449652	3	-0.0148334752701716	0.09126994918786152	0.12876641594334795	0.07434332490747526	-0.19952665943624065	0.6666666666666666	0.0162893616125532	0.4353349167961363	0.361176498099351	0.8859228852625514	1.0361176498099351	0.05585236172579719	TRUE	NA	8	Tier2	FALSE	0.9827553874497217	-0.9705535963853522	0.9827553874497217	TRUE	FALSE	8
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Polr1c	ENSMUSG00000067148	-1	1	2.7890518842383756	0.24795055142351272	0.5110369407870683	-0.08672756936720716	0.13701846247060426	0.02186071672992692	0.08672756936720716	-0.13701846247060426	-0.02186071672992692	3	-0.024050536611108	0.0818689161892461	0.1118890887179163	0.06459919549067089	-0.3723039649089944	0.6666666666666666	0.02186071672992692	0.5110369407870683	0.2915477053445069	0.8993702790564012	1.0291547705344506	0.0505180996375579	TRUE	NA	9	Tier2	FALSE	-0.3563513802847648	0.7128955157991764	0.7128955157991764	TRUE	FALSE	9
EphB1_PI3K_AKT_mTORC1_translation_growth_footprint	EphB1_signaling	Npm1	ENSMUSG00000057113	-1	1	2.2273454120636984	0.32835080784486786	0.5900931201559007	0.00361904485087777	-0.02059538113380146	0.2146931237860252	-0.00361904485087777	0.02059538113380146	-0.2146931237860252	3	-0.06590559583436717	0.07963584992356815	0.1294213311703907	0.07472144039010478	-0.8820172026969507	0.6666666666666666	0.00361904485087777	0.5900931201559007	0.22907944873288075	0.8854091669790983	1.022907944873288	0.0480837052482086	TRUE	NA	10	Tier2	FALSE	0.9679843487595609	-0.7756937941109951	0.9679843487595609	TRUE	FALSE	10
